stream_row_id,engine_id,mission_id,timestamp_s,altitude_m,ambient_temp_C,pressure_kPa,air_density_kg_m3,throttle_pct,load_pct,rpm,air_mass_flow_kg_s,fuel_flow_kg_s,torque_Nm,power_W,cht_C,egt_C,oil_temperature_C,oil_pressure_bar,vibration_rms,battery_voltage_V,alternator_current_A,injection_timing_deg,expected_rpm,expected_cht_C,expected_egt_C,physics_residual_C
0,ENGINE_001,1,0,15.24,25.0,100.726,1.17692,70.0,70.75,2317.25,0.06444,0.005013,251.53,61036.1,132.89,665.45,74.3,3.766,0.7529,28.077,40.55,24.59,2307.45,134.1,673.08,-1.21
1,ENGINE_001,1,1,30.48,25.01,100.129,1.16992,70.0,69.79,2304.4,0.06346,0.004929,240.38,58006.5,132.64,665.94,73.54,3.766,0.7148,28.107,40.63,24.761,2297.93,132.69,669.38,-0.04
2,ENGINE_001,1,2,45.72,25.02,99.536,1.16296,70.0,70.97,2310.13,0.06353,0.005033,251.98,60957.2,134.65,672.55,73.57,3.762,0.7423,28.05,40.69,24.87,2309.72,134.62,674.2,0.03
3,ENGINE_001,1,3,60.96,25.02,98.945,1.15602,70.0,72.28,2318.32,0.0637,0.005205,253.76,61605.2,137.43,687.11,75.67,3.792,0.8048,27.806,41.8,24.857,2322.85,136.77,679.56,0.66
4,ENGINE_001,1,4,76.2,25.03,98.358,1.14912,70.0,69.65,2301.38,0.06222,0.004833,247.29,59597.0,130.79,671.35,74.33,3.779,0.8197,27.984,42.09,24.836,2296.49,132.71,669.12,-1.91
5,ENGINE_001,1,5,91.44,25.04,97.773,1.14226,70.0,69.65,2299.24,0.06179,0.004929,247.47,59583.7,133.62,663.89,72.96,3.819,0.7763,27.884,40.12,24.681,2296.49,132.79,669.23,0.83
6,ENGINE_001,1,6,106.68,25.05,97.19,1.13542,70.0,72.37,2329.95,0.0629,0.005228,259.76,63379.5,133.36,682.16,76.78,3.819,0.7737,27.98,42.71,24.712,2323.69,137.14,680.22,-3.79
7,ENGINE_001,1,7,121.92,25.06,96.611,1.12863,70.0,71.15,2315.96,0.06185,0.005053,254.6,61747.5,134.43,669.26,75.44,3.745,0.8459,28.098,40.56,24.652,2311.51,135.31,675.45,-0.88
8,ENGINE_001,1,8,137.16,25.07,96.035,1.12186,70.0,69.3,2300.3,0.06063,0.004909,247.98,59736.4,131.8,672.47,73.13,3.833,0.7223,28.031,39.94,24.691,2292.96,132.48,668.14,-0.68
9,ENGINE_001,1,9,152.4,25.07,95.461,1.11513,70.0,70.81,2304.39,0.06073,0.005094,253.53,61180.8,135.83,672.43,74.78,3.758,0.8112,28.115,42.06,24.723,2308.14,134.95,674.32,0.89
10,ENGINE_001,1,10,167.64,25.08,94.89,1.10842,70.0,69.3,2302.27,0.05996,0.004808,244.88,59039.3,132.69,668.01,74.82,3.786,0.7247,28.034,41.71,24.723,2293.05,132.66,668.39,0.03
11,ENGINE_001,1,11,182.88,25.09,94.322,1.10176,70.0,69.3,2294.4,0.05939,0.004846,243.97,58617.6,130.76,673.78,74.23,3.795,0.7643,27.87,41.64,24.683,2293.01,132.73,668.48,-1.97
12,ENGINE_001,1,12,198.12,25.1,93.756,1.09512,70.0,70.36,2318.16,0.05989,0.004966,250.5,60810.1,133.1,667.68,74.6,3.822,0.7468,27.748,39.79,24.707,2303.63,134.48,672.83,-1.38
13,ENGINE_001,1,13,213.36,25.11,93.194,1.08852,70.0,67.13,2266.48,0.05747,0.004591,238.21,56539.0,129.76,654.42,71.87,3.777,0.7132,28.015,39.67,24.555,2271.3,129.48,660.01,0.28
